,ville_raw,quartier_raw,price_raw,room_nb_raw,bedroom_nb_raw,surface_raw
2388,Paris 14ème,Raspail-Montparnasse,480000,2,1,35.91
2389,Paris 16ème,Auteuil Nord,1138500,4,2,98.0
2391,Paris 15ème,Violet Commerce,429000,2,1,40.01
2392,Paris 16ème,Muette Nord,765000,3,1,68.18
2394,Paris 5ème,Val de Grace,590800,2,1,43.9
2396,Paris 18ème,La Chapelle-Marx Dormoy,900000,4,3,97.0
2397,Paris 18ème,Montmartre,600000,3,2,60.0
2399,Paris 7ème,Saint Thomas d'Aquin,1380000,2,1,57.7
2400,Paris 6ème,Odéon,905000,2,1,52.8
2401,Paris 15ème,Cambronne-Garibaldi,1206400,4,2,86.0
2402,Paris 5ème,Val de Grace,1100000,5,4,138.0
2403,Paris 6ème,Saint Germain des Prés,6300000,10,7,277.0
2404,Paris 9ème,Lorette-Martyrs,1275000,5,3,103.0
2405,Paris 13ème,Bièvres Sud Tolbiac,900000,4,3,98.0
2406,Paris 20ème,Télégraphe-Pelleport Saint Fargeau,380000,2,1,42.0
2407,Paris 17ème,Courcelles-Wagram,2400000,7,5,201.0
2408,Paris 8ème,Triangle d'Or,1200000,2,1,63.8
2409,Paris 8ème,Elysées-Madeleine,1680000,3,1,91.69
2410,Paris 16ème,Muette Sud,1150000,3,1,79.0
2411,Paris 16ème,Chaillot,2000000,5,3,119.0
2412,Paris 15ème,Pasteur Montparnasse,2990000,6,5,226.0
2413,Paris 8ème,Hoche-Friedland,2575000,6,4,174.0
2415,Paris 17ème,Pereire-Malesherbes,475000,2,1,49.91
2416,Paris 3ème,Enfants Rouges,790000,3,2,56.0
2417,Paris 8ème,Saint Philippe du Roule,2750000,7,4,202.0
2419,Paris 2ème,Sentier-Bonne Nouvelle,472500,2,1,38.0
2421,Paris 15ème,Violet Commerce,496375,2,1,48.0
2422,Paris 16ème,Muette Nord,2790000,5,3,146.27
2423,Paris 13ème,Buttes Aux Cailles-Glacière,550000,3,2,66.0
2424,Paris 18ème,Amiraux-Simplon-Poissonniers,364000,2,1,79.0
2425,Paris 2ème,Sentier-Bonne Nouvelle,1100000,4,2,91.0
2426,Paris 15ème,Georges Brassens,810000,3,2,80.0
2427,Paris 19ème,Secrétan,570000,3,1,51.0
2428,Paris 9ème,Trudaine-Maubeuge,624000,3,2,57.0
2430,Paris 4ème,Arsenal,1690000,4,2,100.0
2431,Paris 16ème,Muette Nord,1880000,5,3,146.0
2432,Paris 14ème,Raspail-Montparnasse,590000,2,1,47.39
2433,Paris 15ème,Citroën-Boucicaut,495000,3,2,45.0
2434,Paris 12ème,Bercy,639000,3,2,69.0
2435,Paris 9ème,Trudaine-Maubeuge,1839000,6,5,174.0
2436,Paris 20ème,Père Lachaise-Réunion,798250,4,2,82.08
2437,Paris 12ème,Bois de Vincennes,445000,2,1,44.0
