ville, price, room_nb, bedroom_nb, surface, quartier
Paris 08 (75008),2 625 000 €,6,3 ch.,202,Faubourg-du-Roule
Paris 08 (75008),2 660 000 €,5,2 ch.,146,Champs-élysées
Paris 16 (75016),2 680 000 €,7,4 ch.,193,Paris
Paris 16 (75016),2 700 000 €,3,2 ch.,150,Paris
Paris 17 (75017),2 820 000 €,7,4 ch.,210,Paris 17ème
Paris 14 (75014),2 835 000 €,7,5 ch.,203,Paris 14ème
Paris 14 (75014),2 835 000 €,6,4 ch.,203,Paris 14ème
Paris 14 (75014),2 850 000 €,4,3 ch.,108,Montparnasse
Paris 08 (75008),2 850 000 €,6,4 ch.,193,Paris 8ème
Paris 16 (75016),2 900 000 €,6,2 ch.,255,Paris
Paris 15 (75015),2 900 000 €,5,2 ch.,152,Paris 15ème
Paris 06 (75006),2 940 000 €,5,3 ch.,164,Paris 6ème
Paris 09 (75009),2 990 000 €,7,5 ch.,230,Paris 9ème
Paris 16 (75016),2 990 000 €,5,4 ch.,241,Paris
Paris 16 (75116),2 992 500 €,7,4 ch.,233,Paris
Paris 16 (75116),2 995 000 €,6,4 ch.,185,Paris
Paris 10 (75010),3 000 000 €,8,3 ch.,600,Paris 10ème
Paris 16 (75116),3 095 000 €,6,4 ch.,195,Paris
Paris 16 (75016),3 100 000 €,6,4 ch.,248,Paris
Paris 17 (75017),3 150 000 €,8,5 ch.,223,Ternes
Paris 09 (75009),650 000 €,2,1 ch.,55,Square Motholon
Paris 17 (75017),3 150 000 €,8,5 ch.,223,Ternes
Paris 08 (75008),3 224 000 €,6,3 ch.,186,Paris 8ème
Paris 01 (75001),3 290 000 €,4,2 ch.,154,Place-Vendôme
Paris 16 (75016),3 450 000 €,8,5 ch.,267,Paris
Paris 18 (75018),3 500 000 €,5,4 ch.,237,Anvers
Paris 07 (75007),3 550 000 €,7,4 ch.,274,Gros-Caillou
Paris 16 (75016),3 570 000 €,5,3 ch.,223,Paris
Paris 16 (75016),3 750 000 €,5,2 ch.,161,Paris
Paris 16 (75016),3 787 000 €,6,4 ch.,215,Paris
Paris 16 (75016),3 950 000 €,7,4 ch.,267,Paris
Paris 16 (75116),3 980 000 €,7,5 ch.,239,Paris
Paris 07 (75007),3 990 000 €,8,4 ch.,273,Paris 7ème
Paris 16 (75116),4 050 000 €,6,3 ch.,268,Paris
Paris 16 (75016),4 100 000 €,7,5 ch.,303,Paris
Paris 04 (75004),4 250 000 €,7,4 ch.,250,Paris 4ème
Paris 07 (75007),4 400 000 €,7,4 ch.,210,Paris 7ème
Paris 14 (75014),4 500 000 €,5,4 ch.,156,Montparnasse
Paris 01 (75001),5 500 000 €,5,2 ch.,176,Place-Vendôme
Paris 08 (75008),5 700 000 €,8,4 ch.,283,Paris 8ème
Paris 16 (75016),6 300 000 €,5,1 ch.,237,Paris
Paris 14 (75014),598 000 €,3,2 ch.,67,
Paris 16 (75116),6 360 000 €,8,4 ch.,462,Paris
Paris 14 (75014),212 000 €,1,,15,Paris 14ème
Paris 17 (75017),276 000 €,1,,21,Paris 17ème
Paris 13 (75013),315 000 €,1,,30,Paris 13ème
Paris 08 (75008),451 250 €,1,,30,Paris 8ème
